"C_NO","SITE_CONTENT","SITE","PET_YN"
576,"자동차야영장사이트(5면) 글램핑시설(3면) 카라반(3면)",11,"N"
8183,"자동차야영장사이트(40면)",40,"Y"
8141,"자동차야영장사이트(26면)",26,"Y"
7830,"일반야영장(15면)",15,"Y"
7543,"일반야영장(50면)",50,"Y"
7385,"일반야영장(50면)",50,"N"
578,"일반야영장(10면)",10,"N"
582,"",0,"N"
584,"일반야영장(26면)",26,"N"
6754,"글램핑시설(17면)",17,"N"
7124,"일반야영장(47면)",47,"Y"
588,"일반야영장(67면)",67,"N"
591,"일반야영장(69면)",69,"N"
7840,"일반야영장(30면) 자동차야영장사이트(20면)",50,"Y"
597,"일반야영장(80면)",80,"N"
598,"일반야영장(35면)",35,"N"
4,"일반야영장(2면) 글램핑시설(22면) 카라반(2면)",26,"N"
6942,"",0,"N"
100197,"",0,"N"
6944,"일반야영장(40면) 자동차야영장사이트(40면) 개인카라반사이트(10면)",90,"N"
7991,"카라반(7면)",7,"Y"
10,"카라반(40면)",40,"N"
11,"일반야영장(38면)",38,"Y"
12,"",0,"N"
100011,"카라반(15면)",15,"N"
18,"글램핑시설(20면)",20,"N"
21,"일반야영장(9면) 카라반(10면)",19,"N"
7106,"카라반(19면)",19,"N"
28,"일반야영장(22면)",22,"N"
100322,"일반야영장(22면) 글램핑시설(7면)",29,"Y"
29,"일반야영장(14면) 자동차야영장사이트(10면) 글램핑시설(7면)",31,"N"
7107,"개인카라반사이트(8면)",8,"N"
7920,"일반야영장(21면)",21,"Y"
100289,"자동차야영장사이트(66면)",66,"Y"
69,"자동차야영장사이트(22면)",22,"N"
7363,"",0,"N"
70,"",0,"Y"
7786,"글램핑시설(9면)",9,"Y"
7932,"일반야영장(30면) 글램핑시설(16면) 카라반(3면) 개인카라반사이트(20면)",69,"N"
7864,"글램핑시설(16면)",16,"Y"
71,"일반야영장(21면) 글램핑시설(2면) 개인카라반사이트(4면)",27,"Y"
100090,"일반야영장(30면)",30,"Y"
73,"일반야영장(38면)",38,"N"
7389,"",0,"N"
7109,"일반야영장(26면) 카라반(10면)",36,"Y"
75,"자동차야영장사이트(31면)",31,"N"
8160,"일반야영장(21면)",21,"Y"
76,"글램핑시설(26면) 카라반(5면)",31,"N"
77,"일반야영장(200면)",200,"N"
6723,"일반야영장(7면) 카라반(3면)",10,"N"
80,"자동차야영장사이트(39면)",39,"Y"
81,"",0,"N"
7783,"일반야영장(21면)",21,"N"
6724,"자동차야영장사이트(26면)",26,"N"
7790,"일반야영장(29면) 글램핑시설(8면)",37,"Y"
100007,"자동차야영장사이트(31면)",31,"Y"
85,"일반야영장(5면) 카라반(6면)",11,"N"
86,"일반야영장(10면)",10,"N"
7110,"일반야영장(42면) 카라반(6면)",48,"Y"
90,"일반야영장(30면) 자동차야영장사이트(25면) 글램핑시설(2면)",57,"N"
95,"일반야영장(8면) 자동차야영장사이트(8면)",16,"N"
100509,"카라반(12면)",12,"Y"
100157,"자동차야영장사이트(3면) 글램핑시설(2면) 카라반(2면)",7,"Y"
7111,"일반야영장(25면)",25,"N"
103,"일반야영장(10면)",10,"N"
7112,"일반야영장(22면) 자동차야영장사이트(7면) 글램핑시설(22면)",51,"N"
101463,"일반야영장(3면) 글램핑시설(2면) 카라반(11면)",16,"Y"
7213,"일반야영장(35면) 자동차야영장사이트(35면)",70,"N"
7820,"글램핑시설(16면)",16,"N"
100626,"일반야영장(15면) 카라반(3면)",18,"Y"
7983,"일반야영장(50면)",50,"Y"
102,"일반야영장(25면) 자동차야영장사이트(23면) 개인카라반사이트(23면)",71,"N"
7229,"일반야영장(30면) 자동차야영장사이트(30면)",60,"Y"
7113,"",0,"N"
100202,"일반야영장(8면) 글램핑시설(24면)",32,"N"
7114,"카라반(8면)",8,"N"
7926,"카라반(19면)",19,"Y"
121,"글램핑시설(4면)",4,"N"
100411,"일반야영장(12면) 자동차야영장사이트(20면)",32,"N"
124,"",0,"N"
6953,"자동차야영장사이트(40면) 카라반(4면)",44,"N"
127,"",0,"N"
7353,"일반야영장(69면)",69,"N"
129,"일반야영장(12면)",12,"N"
7406,"",0,"N"
7589,"자동차야영장사이트(30면)",30,"N"
131,"",0,"N"
132,"일반야영장(20면)",20,"N"
137,"일반야영장(59면)",59,"N"
138,"자동차야영장사이트(190면)",190,"N"
7977,"일반야영장(13면)",13,"N"
141,"일반야영장(67면)",67,"N"
7915,"카라반(4면)",4,"Y"
142,"일반야영장(50면)",50,"Y"
7616,"카라반(7면)",7,"Y"
100237,"글램핑시설(10면)",10,"N"
146,"자동차야영장사이트(14면) 글램핑시설(5면)",19,"N"
148,"일반야영장(50면)",50,"Y"
154,"일반야영장(35면)",35,"N"
157,"일반야영장(100면)",100,"N"
163,"글램핑시설(20면)",20,"N"
165,"일반야영장(60면)",60,"N"
7348,"",0,"N"
7352,"",0,"N"
168,"일반야영장(15면)",15,"N"
167,"일반야영장(30면) 글램핑시설(16면)",46,"N"
8182,"일반야영장(29면)",29,"Y"
170,"",0,"N"
8052,"일반야영장(10면)",10,"Y"
173,"일반야영장(35면)",35,"N"
7754,"자동차야영장사이트(10면)",10,"Y"
222,"카라반(40면)",40,"N"
8029,"카라반(7면)",7,"N"
175,"일반야영장(30면) 자동차야영장사이트(30면) 글램핑시설(15면)",75,"N"
176,"자동차야영장사이트(10면)",10,"N"
100130,"일반야영장(7면) 글램핑시설(5면)",12,"Y"
179,"",0,"N"
180,"일반야영장(18면)",18,"Y"
7115,"일반야영장(25면) 자동차야영장사이트(25면)",50,"N"
7405,"",0,"Y"
6731,"일반야영장(40면) 글램핑시설(2면)",42,"N"
190,"일반야영장(18면)",18,"N"
193,"",0,"N"
198,"",0,"N"
6732,"일반야영장(14면)",14,"N"
7976,"글램핑시설(8면)",8,"Y"
199,"글램핑시설(14면)",14,"N"
100338,"일반야영장(24면)",24,"Y"
100228,"일반야영장(15면)",15,"N"
100206,"자동차야영장사이트(15면)",15,"N"
100040,"자동차야영장사이트(6면) 글램핑시설(6면)",12,"N"
214,"자동차야영장사이트(12면) 글램핑시설(17면)",29,"N"
7466,"",0,"N"
221,"자동차야영장사이트(41면)",41,"N"
6733,"카라반(27면)",27,"N"
225,"자동차야영장사이트(39면)",39,"N"
7800,"자동차야영장사이트(12면) 글램핑시설(5면) 카라반(5면)",22,"Y"
7116,"일반야영장(15면) 자동차야영장사이트(15면)",30,"N"
231,"",0,"N"
232,"글램핑시설(39면)",39,"N"
233,"자동차야영장사이트(22면)",22,"N"
236,"일반야영장(20면)",20,"N"
237,"",0,"N"
238,"일반야영장(17면)",17,"N"
240,"자동차야영장사이트(106면)",106,"Y"
244,"일반야영장(50면)",50,"N"
245,"글램핑시설(30면) 카라반(10면)",40,"N"
100463,"자동차야영장사이트(10면)",10,"Y"
247,"일반야영장(15면)",15,"N"
6736,"",0,"N"
7530,"일반야영장(10면)",10,"N"
260,"자동차야영장사이트(81면) 카라반(8면)",89,"N"
269,"자동차야영장사이트(45면)",45,"N"
7969,"일반야영장(25면)",25,"Y"
277,"일반야영장(17면)",17,"N"
7528,"자동차야영장사이트(25면) 글램핑시설(9면)",34,"N"
284,"자동차야영장사이트(14면)",14,"Y"
100633,"일반야영장(7면) 자동차야영장사이트(9면) 글램핑시설(1면)",17,"Y"
289,"글램핑시설(13면)",13,"N"
